location,city,state,city_primary,audience_segment,creative_size,creative_messaging,state_raw,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,US>Interest Propensities>Activities and Interests>Local News,320x50,Sign up Today - 10% Off,Michigan,activebeat.com,Magnite DV+,Smartphone,16151,54,4360,11358,3,1706.224318
"San Francisco, California",San Francisco,California,San Francisco,US>Reach>Sociodemographic>Dwelling Type>Multi-family Dwelling Unit,300x50,Sign up Now - 10% Off,California,activebeat.com,BidSwitch,Smartphone,68704,185,31283,59462,16,1605.566031
"San Francisco, California",San Francisco,California,San Francisco,OnAudience>Intent>Software>Video Game Software,300x250,Sign up Today - 10% Off,California,activebeat.com,Google Ad Manager,Windows PC,76439,100,58269,66924,8,1524.810224
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>B2B>Occupation>Musician,300x250,Subscribe Today - 10% Discount,Illinois,ajc.com,Xandr - Monetize SSP (AppNexus),Windows PC,17833,61,8670,16871,10,4899.155955
"Tampa-St Petersburg (Sarasota), Florida",Tampa-St Petersburg (Sarasota),Florida,Tampa,Lotame>Travel>Summer Travel,300x250,Sign up Now - 10% Off,Florida,ajc.com,Google Ad Manager,Apple PC,16719,35,9944,15714,13,1588.6475
"Ft. Myers-Naples, Florida",Ft. Myers-Naples,Florida,Ft. Myers,US>Home and Garden Interests>Cooking>Food Enthusiasts,320x50,Subscribe Today - 10% Discount,Florida,ajc.com,PubMatic,Smartphone,12592,63,7472,11687,4,1521.185189
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,US>Demo>Age>55-64,300x250,Sign up Today - 10% Off,Michigan,ajc.com,Magnite DV+,Smartphone,14136,88,4683,13273,3,1476.536841
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Intent>Auto Buyers>Type>Luxury,320x50,Sign up Now - 10% Off,California,al.com,PubMatic,Smartphone,14489,37,12453,13873,10,6195.840734
"Ft. Myers-Naples, Florida",Ft. Myers-Naples,Florida,Ft. Myers,US>Brand Propensities>Media and Entertainment>wwe.com Buyer Propensity,300x250,Sign up Now - 10% Off,Florida,allrecipes.com,Google Ad Manager,Windows PC,20348,101,14945,19548,6,1596.552373
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Sports>Sports League>NFL,320x50,Sign up Now - 10% Off,California,alotfinance.com,OpenX,Smartphone,40447,177,16663,29774,12,5083.886273
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Intent>Auto Buyers>Car Make>Volkswagen,300x250,Sign up Today - 10% Off,Illinois,androidauthority.com,PubMatic,Smartphone,14451,50,5606,13461,8,6397.602518
"New York City, New York",New York City,New York,New York City,US>B2B>B2B Decision Maker Responsibilities>Financial Services,300x250,Sign up Now - 10% Off,New York,androidpolice.com,Taboola,Apple PC,11668,110,7860,11009,5,2653.981579
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Sports>Team Sports>Basketball,300x250,Sign up Today - 10% Off,New York,aol.com,PubMatic,Windows PC,19379,49,12168,16616,97,7294.100001
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,US>Interest Propensities>Music>Country,300x250,10% Discount - Ends 6/1,Florida,aol.com,Google Ad Manager,Smartphone,8716,40,6490,7862,2,2100.820137
